"continent","year","populace","svet_pop"
"Africa",1952,237640501,2406957150
"Africa",1957,264837738,2664404580
"Africa",1962,296516865,2899782974
"Africa",1967,335289489,3217478384
"Africa",1972,379879541,3576977158
"Africa",1977,433061021,3930045807
"Africa",1982,499348587,4289436840
"Africa",1987,574834110,4691477418
"Africa",1992,659081517,5110710260
"Africa",1997,743832984,5515204472
"Africa",2002,833723916,5886977579
"Africa",2007,929539692,6251013179
"Americas",1952,345152446,2406957150
"Americas",1957,386953916,2664404580
"Americas",1962,433270254,2899782974
"Americas",1967,480746623,3217478384
"Americas",1972,529384210,3576977158
"Americas",1977,578067699,3930045807
"Americas",1982,630290920,4289436840
"Americas",1987,682753971,4691477418
"Americas",1992,739274104,5110710260
"Americas",1997,796900410,5515204472
"Americas",2002,849772762,5886977579
"Americas",2007,898871184,6251013179
"Asia",1952,1395357351,2406957150
"Asia",1957,1562780599,2664404580
"Asia",1962,1696357182,2899782974
"Asia",1967,1905662900,3217478384
"Asia",1972,2150972248,3576977158
"Asia",1977,2384513556,3930045807
"Asia",1982,2610135582,4289436840
"Asia",1987,2871220762,4691477418
"Asia",1992,3133292191,5110710260
"Asia",1997,3383285500,5515204472
"Asia",2002,3601802203,5886977579
"Asia",2007,3811953827,6251013179
"Europe",1952,418120846,2406957150
"Europe",1957,437890351,2664404580
"Europe",1962,460355155,2899782974
"Europe",1967,481178958,3217478384
"Europe",1972,500635059,3576977158
"Europe",1977,517164531,3930045807
"Europe",1982,531266901,4289436840
"Europe",1987,543094160,4691477418
"Europe",1992,558142797,5110710260
"Europe",1997,568944148,5515204472
"Europe",2002,578223869,5886977579
"Europe",2007,586098529,6251013179
"Oceania",1952,10686006,2406957150
"Oceania",1957,11941976,2664404580
"Oceania",1962,13283518,2899782974
"Oceania",1967,14600414,3217478384
"Oceania",1972,16106100,3576977158
"Oceania",1977,17239000,3930045807
"Oceania",1982,18394850,4289436840
"Oceania",1987,19574415,4691477418
"Oceania",1992,20919651,5110710260
"Oceania",1997,22241430,5515204472
"Oceania",2002,23454829,5886977579
"Oceania",2007,24549947,6251013179
